name	windows	ws
android-ftp-sync	Y	Y
ax	Y	Y
bqmlite	Y	Y
char-distribution	Y	Y
check-repos	Y	Y
footer	Y	Y
issue-md2wf	Y	Y
lx	Y	Y
mimic-me	Y	Y
mx	Y	Y
outlook-draft	Y	Y
pain-sense	Y	Y
pi-config	Y	Y
pi-config-memo	Y	Y
python-status	Y	Y
recap	Y	Y
serve-html	Y	Y
skill-consolidator	Y	Y
skill-crawler	Y	Y
tips-word	Y	Y
tsumete	Y	Y
uipath-admin	Y	Y
uipath-agents	Y	Y
uipath-api-workflow	Y	Y
uipath-automation-discovery	Y	Y
uipath-automationhub	Y	Y
uipath-coded-apps	Y	Y
uipath-connector-builder	Y	Y
uipath-feedback	Y	Y
uipath-functions	Y	Y
uipath-governance	Y	Y
uipath-human-in-the-loop	Y	Y
uipath-insights	Y	Y
uipath-ixp	Y	Y
uipath-maestro-bpmn	Y	Y
uipath-maestro-case	Y	Y
uipath-maestro-flow	Y	Y
uipath-mcp-servers	Y	Y
uipath-planner	Y	Y
uipath-platform	Y	Y
uipath-process-mining	Y	Y
uipath-review	Y	Y
uipath-rpa	Y	Y
uipath-skill-catalog	Y	Y
uipath-solution	Y	Y
uipath-tasks	Y	Y
uipath-test	Y	Y
uipath-troubleshoot	Y	Y
vocab-highlight	Y	Y
win-tips	Y	Y
writing	Y	Y
wsl-migrate	Y	Y
wx	Y	Y
