quote	author	domain	lang
The unexamined life is not worth living.	Socrates	philosophy	en
It is the mark of an educated mind to be able to entertain a thought without accepting it.	Aristotle	philosophy	en
We are what we repeatedly do. Excellence, then, is not an act, but a habit.	Aristotle (apud W. Durant)	philosophy	en
The happiness of your life depends upon the quality of your thoughts.	Marcus Aurelius	philosophy	en
The impediment to action advances action. What stands in the way becomes the way.	Marcus Aurelius	philosophy	en
He who has a why to live can bear almost any how.	Friedrich Nietzsche	philosophy	en
Out of the crooked timber of humanity, no straight thing was ever made.	Immanuel Kant	philosophy	en
Luck is what happens when preparation meets opportunity.	Seneca (伝)	philosophy	en
The journey of a thousand miles begins beneath one's feet.	Lao Tzu	philosophy	en
The really great people are unselfish.	Democritus	philosophy	en
Those who cannot remember the past are condemned to repeat it.	George Santayana	history	en
The historian is a prophet looking backwards.	Friedrich von Schlegel	history	en
History is an unending dialogue between the present and the past.	E.H. Carr	history	en
History is written by the victors.	Winston Churchill (伝)	history	en
People are trapped in history, and history is trapped in them.	James Baldwin	humanities	en
The secret of happiness is freedom. The secret of freedom is courage.	Thucydides (伝)	history	en
Geography is destiny.	Ibn Khaldun (伝)	history	en
The good historian is like the giant of the fairy tale who knows that wherever he catches the scent of human flesh, there his quarry lies.	Marc Bloch	history	en
Culture eats strategy for breakfast.	Peter Drucker (伝)	business	en
What gets measured gets managed.	Peter Drucker (伝)	business	en
An investment in knowledge pays the best interest.	Benjamin Franklin	business	en
Risk comes from not knowing what you're doing.	Warren Buffett	business	en
Whether you think you can, or you think you can't — you're right.	Henry Ford	business	en
Your most unhappy customers are your greatest source of learning.	Bill Gates	business	en
Success is not final, failure is not fatal: it is the courage to continue that counts.	Winston Churchill	business	en
Focusing is about saying no.	Steve Jobs	business	en
The best way to predict the future is to invent it.	Alan Kay (伝)	it	en
We can only see a short distance ahead, but we can see plenty there that needs to be done.	Alan Turing	it	en
Premature optimization is the root of all evil.	Donald Knuth	it	en
There are only two hard things in computer science: cache invalidation and naming things.	Phil Karlton	it	en
In God we trust, all others must bring data.	W. Edwards Deming	it	en
The important thing is not to stop questioning.	Albert Einstein	science	en
Nothing in life is to be feared, it is only to be understood.	Marie Curie (伝)	science	en
Science knows no country, because knowledge belongs to humanity, and is the torch which illuminates the world.	Louis Pasteur	science	en
